date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2010-11-15,Maize - Wholesale,100 KG,cereals and tubers,36.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-01-15,Maize - Wholesale,100 KG,cereals and tubers,43.8,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-02-15,Maize - Wholesale,100 KG,cereals and tubers,38.2,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-03-15,Maize - Wholesale,100 KG,cereals and tubers,50.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-04-15,Maize - Wholesale,100 KG,cereals and tubers,50.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-05-15,Maize - Wholesale,100 KG,cereals and tubers,50.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-06-15,Maize - Wholesale,100 KG,cereals and tubers,81.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-07-15,Maize - Wholesale,100 KG,cereals and tubers,83.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-08-15,Maize - Wholesale,100 KG,cereals and tubers,83.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-09-15,Maize - Wholesale,100 KG,cereals and tubers,85.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-10-15,Maize - Wholesale,100 KG,cereals and tubers,77.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-11-15,Maize - Wholesale,100 KG,cereals and tubers,67.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2011-12-15,Maize - Wholesale,100 KG,cereals and tubers,101.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-01-15,Maize - Wholesale,100 KG,cereals and tubers,100.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-02-15,Maize - Wholesale,100 KG,cereals and tubers,100.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
